"IHDID","IHDLKID","NEW_KEY","ACRES_IHD","GNIS_NAME","PERIM_KM","LAKE_CODE","STRAHLER","LINK","UP_LAKES","UP_LAKE_ACRES","DOWN_LAKES","DOWN_LAKE_ACRES","WL_KM2","UPSTREAM_CATCH"
123397048,123397048,"",10.54830792,"Doyle Lake",0.91,1,1,1,0,0,3,2441.223864,0.0739,1
123397054,123397054,"",27.16742085,"Hattie Lake",2.19,3,-99,-99,-99,-99,-99,-99,1.228,0
123397062,123397062,"",33.06359437,"Sun Lake",1.6,3,-99,-99,-99,-99,-99,-99,0.6057,0
123397065,123397065,"",17.13427007,"Rickles Lake",1.52,3,-99,-99,-99,-99,-99,-99,0.3263,0
123397067,123397067,"",331.4554251,"Tamarack Lake",6.38,1,3,13,4,164,3,2441.223864,3.0669,1
123397093,123397093,"",12.32399931,"Partridge Lake",1.15,1,2,4,0,0,3,2441.223864,0.1166,1
123397095,123397095,"",19.75995893,"Trail Lake",1.48,3,-99,-99,-99,-99,-99,-99,0.0742,0
123397104,123397104,"",7.318852659,"",1.84,3,-99,-99,-99,-99,-99,-99,0.128,0
123397109,123397109,"",37.84456702,"Clear Lake",2.36,3,-99,-99,-99,-99,-99,-99,0.2962,0
123397115,123397115,"",9.495406113,"Dellies Lake",1.07,3,-99,-99,-99,-99,-99,-99,0.1898,0
123397126,123397126,"",8.459272589,"",1.15,1,1,1,0,0,2,775.322236,0.0397,1
123397132,123397132,"",68.34235173,"Record Lake",2.96,3,-99,-99,-99,-99,-99,-99,1.2909,0
123397146,123397146,"",7.270936798,"",0.62,3,-99,-99,-99,-99,-99,-99,0.0505,0
123397165,123397165,"",8.866746235,"",1.44,3,-99,-99,-99,-99,-99,-99,0.6193,0
123397168,123397168,"",5.347661268,"",1.22,3,-99,-99,-99,-99,-99,-99,0.2305,0
123397174,123397174,"",622.6342281,"Crooked Lake",24.68,1,1,1,0,0,3,2441.223864,7.7783,1
123397189,123397189,"",60.93686158,"Cloverleaf Lake",3.87,3,-99,-99,-99,-99,-99,-99,0.3512,0
123397192,123397192,"",5.655776901,"",0.75,3,-99,-99,-99,-99,-99,-99,0.0668,0
123397195,123397195,"",5.143928525,"",0.67,3,-99,-99,-99,-99,-99,-99,0.0802,0
123397197,123397197,"",6.143464053,"",0.75,3,-99,-99,-99,-99,-99,-99,1.829,0
123397217,123397217,"",9.725886,"Pilot Lake",2.11,3,-99,-99,-99,-99,-99,-99,0.4424,0
123397225,123397225,"",33.03517977,"Spider Lake",1.95,3,-99,-99,-99,-99,-99,-99,0.8636,0
